Volume,Radius,X,Y,friends_100,friends_250,friends_500,friends_1000
476,11.0096505239171,17301.5,8852,6,34,120,197
711,13.4556554378202,17354.5654008439,8882.58227848101,5,30,102,197
759,13.9024373003728,17547.7404479578,8468.87351778656,2,13,85,197
717,13.5123110797162,13321.9246861925,13070.6080892608,7,43,125,196
1302,18.2085578080483,13364.9055299539,13466.2019969278,2,8,58,196
623,12.5954613759878,17100.4333868379,8563.13322632424,10,46,113,196
769,13.9937215200342,17199.1729518856,8832.77243172952,8,36,129,196
589,12.2469432255483,13135.9881154499,12775.5670628183,4,19,77,195
767,13.9755123756653,17043.2255541069,8627.49674054759,9,48,113,195
620,12.5650986286284,17536.3064516129,8914.85967741936,4,22,81,195
471,10.9516740781514,17659.5201698514,8621.49044585987,3,15,59,195
481,11.0673232628094,17220.7858627859,8867.95218295218,8,36,122,194
734,13.6715604510649,17697.7465940054,8785.43051771117,3,17,66,194
701,13.3606954973111,17092.6447931526,8523.15691868759,10,43,106,193
594,12.2988153053267,17171.3636363636,8429.78451178451,4,30,107,193
682,13.1783866198361,17173.6524926686,8853.40909090909,7,37,126,193
580,12.153015559493,17620.1482758621,8910.53275862069,4,15,65,193
724,13.5781105488817,12305.953038674,13263.7251381215,4,25,74,192
237,7.76862628914834,13197,12865,8,34,91,192
1179,17.3271430030617,17009.0593723494,8587.31636980492,11,45,104,192
567,12.0160461206242,17049.4726631393,8563.68077601411,11,46,107,192
659,12.9542646258325,17255.277693475,8901.21851289833,5,34,115,192
568,12.0266376133113,17384.5017605634,8938.09507042254,3,27,92,192
696,13.3129615272912,17660.4152298851,8544.76867816092,2,15,56,192
551,11.8452943327642,12923.2177858439,13810.3593466425,3,9,41,191
1184,17.3638453170168,13398.2956081081,13207.9974662162,5,23,107,191
497,11.2498893659749,16996,8516,11,40,92,191
841,14.6341686277169,17014.8549346017,8537.76932223543,11,44,98,191
664,13.0033154057275,17041.8253012048,8507.99246987952,11,42,101,191
798,14.2551405233246,17067.5714285714,8441.77067669173,10,38,94,191
547,11.8022203925374,17095.9890310786,8486.48080438757,9,39,104,191
620,12.5650986286284,17113.8290322581,8434.48064516129,7,34,98,191
349,9.42720108104809,17136,8863,8,38,121,191
696,13.3129615272912,17038.1235632184,8458.66522988506,11,37,92,190
707,13.4177521077695,17084.6492220651,8400.07920792079,7,32,91,190
1071,16.5144757858756,17123.8515406162,8379.20821661998,5,29,97,190
2811,26.7547242940403,17177.0181430096,8906.49839914621,9,36,116,190
863,14.824343001337,13288.9721900348,12964.6720741599,9,45,110,189
992,15.8937322764496,16965.9576612903,8557.95463709677,10,41,96,189
773,14.0300689098827,16988.4062095731,8464.3467011643,8,35,87,189
714,13.4840130149812,16997.256302521,8633.65966386555,11,40,112,189
601,12.3710708217667,17056.0366056572,8799.12811980033,4,45,120,189
704,13.3892541950144,17572.78125,8952.13778409091,5,18,69,189
393,10.0038306771048,13198.7913486005,12825.2671755725,6,29,87,188
806,14.326416670309,13317.2754342432,12991.3300248139,9,44,114,188
480,11.0558127830827,16941,8577.5,11,36,95,188
1009,16.0293399779141,16960.2180376611,8609.02180376611,8,39,103,188
961,15.643421636525,17035.1831425598,8385.48178980229,6,29,84,188
559,11.9309756977957,17728.5778175313,8649.80500894454,4,12,50,188
1238,17.7553966803456,13179.0936995153,12789.0298869144,6,24,78,187
329,9.15309576283203,13261.6686930091,12913.9270516717,6,40,103,187
524,11.5514286687078,16946.5,8497.5,7,35,83,187
1010,16.0372811921629,12375.0435643564,13465.5722772277,5,28,90,186
724,13.5781105488817,12801.3743093923,13797.5151933702,2,19,53,186
17767,67.2631355072147,13428.6754657511,13347.1411042945,1,14,81,186
481,11.0673232628094,16951,8446,6,32,72,186
933,15.4138411516267,17012.2829581994,8812.6463022508,6,42,111,186
534,11.6611313077984,17746.2490636704,8706.12546816479,3,11,50,186
643,12.7960386625292,17093.3157076205,8890.65163297045,5,36,107,185
720,13.5405500051462,13407.4791666667,13165.8263888889,4,32,109,184
545,11.7806243627463,16965.4165137615,8701.72660550459,7,36,108,184
710,13.44618962206,16971.6323943662,8374.81971830986,4,25,69,184
600,12.3607744647421,17045.5216666667,8271.38333333333,2,13,69,184
1193,17.4297147243955,17226.050293378,8958.34534786253,5,33,101,184
549,11.8237769774265,16927.2422586521,8632.05464480874,10,34,103,183
607,12.4326698955152,16938.2322899506,8659.31630971993,9,35,107,183
678,13.1396834918535,16966.4277286136,8763.52507374631,5,41,108,183
1014,16.0690068041647,16975.8027613412,8331.96252465483,4,20,68,183
379,9.82402959538118,21458.8733509235,33608.2664907652,7,26,56,182
976,15.765035969902,12284.4088114754,13337.6147540984,5,31,70,182
896,15.1051159021221,12685.1607142857,13770.2622767857,4,23,66,182
381,9.84991641126052,13239.5905511811,12815.6692913386,4,28,85,182
297,8.69657570295738,13394.0707070707,13078.1885521886,5,41,111,182
587,12.2261327717275,17359.7887563884,8994.16524701874,5,23,84,182
333,9.20856957835265,21426.1891891892,33587.7657657658,5,24,54,181
210,7.31273279143145,21515.5,33571,7,23,52,181
825,14.4942928382623,12333.9078787879,13418.9018181818,4,32,85,181
1239,17.7625662331031,12394.2615012107,12851.1638418079,1,7,42,181
691,13.2650557888913,12877.474674385,13849.0477568741,2,13,39,181
680,13.1590492849591,17124.4705882353,8927.08235294118,6,31,107,181
788,14.1655410150923,17620.1421319797,8950.83502538071,6,17,62,181
611,12.4735669464126,21410.6841243863,33682.5973813421,2,20,66,180
617,12.5346623337176,21448.0064829822,33567.8557536467,9,24,52,180
834,14.5731381679385,12382.1043165468,13513.4544364508,5,31,93,180
631,12.676073151634,13364.1489698891,12995.1616481775,10,44,111,180
606,12.4224245951385,13380.0742574257,13034.8745874587,9,42,116,180
892,15.0713614109925,16923.4103139013,8699.14798206278,8,34,103,180
811,14.3707847439186,17014.261405672,8271.59926017263,3,13,66,180
585,12.2052868353847,21445.9572649573,33526.8307692308,9,24,48,179
461,10.8347905390267,21471.4360086768,33651.1062906725,6,25,60,179
