Volume,Radius,X,Y
2284,0,22591.239214518,22037.8892114884
972,0,22534.3019586286,21352.7825861226
754,0,22975.9885443413,51616.7906489345
917,0,23257.834760462,52063.2027181311
1041,0,25371.4642722393,35750.443777976
589,0,25413.0213356631,25627.7525536658
853,0,26789.5473579331,17772.2583453583
5370,0,27167.1447824398,45671.2943665099
1140,0,27982.5425299162,29009.9456136641
217,0,29206.2891629793,47725.7887603942
623,0,29843.089391589,30680.7562930042
374,0,31139.8139588689,52180.1535389889
155,0,32050.1070768011,11376.578215827
844,0,32741.6948442262,6684.65626058246
398,0,33864.630406613,53875.500834078
676,0,34516.3787438577,6171.94044324515
1265,0,35843.6591416119,17259.0996675777
391,0,36131.2317831528,17086.2086258202
674,0,35909,17198
243,0,35910,17204.5
688,0,36542.8530613875,16891.0792139843
322,0,36727.3861803484,29839.4700606294
519,0,36911.7829560586,27567.9488317571
5035,0,36931.4329165665,29968.5270497716
606,0,37825.9316242288,27579.1254703399
12719,0,38388.1190665898,47170.2241642368
508,0,38611.263383727,46770.7749278181
278,0,40030.4243584167,24110.1342322749
614,0,40212.6446652864,23628.5204968944
884,0,40336.7890227954,23974.501556111
490,0,40716.6024347984,63513.9479749105
1349,0,41374.0136495047,28048.977914343
7954,0,41407.6379858348,28501.6491353205
10085,0,41650.3169078914,25132.8797371247
224,0,41820.4497064236,29904.5751292612
436,0,41830.2377719846,25215.543711122
3439,0,41978.3739994427,29781.317574255
424,0,44639.2051512147,19267.1960472134
738,0,44488.3376431959,19101.2512513681
1207,0,45745.054665327,27476.8316551406
561,0,47906.6618781334,21109.9508842488
612,0,48129.6295827822,29065.3497059874
868,0,51159.8384088838,30649.0708033992
453,0,51804.7818825536,26874.5859809446
763,0,52110.7906103986,34929.007282036
544,0,52061.7690701253,26753.7233457903
314,0,53230.7389322041,37105.0223532671
470,0,53243.6604524174,34858.8487469859
721,0,54096.8524110198,20632.9021129493
377,0,57244.8263026712,31055.4867851768
676,0,56924.0319011752,30140.3277014156
1702,0,56847.7021408626,30841.1275554177
615,0,57122.8444903325,30517.8745285775
757,0,58281.6487943262,30035.658392435
1202,0,24668.3961808467,37210.2672406242
1011,0,26402.5099618965,40657.5746052208
1313,0,27572.7295421564,45992.4340984369
985,0,32588.1540614007,49261.4701870803
969,0,37145.6927107572,26503.3417561519
1105,0,42955,70017
1181,0,42955,71033
1157,0,42955,71305
993,0,42955,71417
1384,0,42955,72435
1016,0,42955,73115
654,0,42955,73259
706,0,42955,73379
1235,0,42955,73443
1247,0,42955,74129
1122,0,42956,1331
867,0,42956,1451
1545,0,42956,2227
985,0,42956,2339
1329,0,42956,2363
855,0,42956,2411
3459,0,42956,2467
979,0,42956,2531
1575,0,42956,2603
4320,0,45766.1778147071,36542.8981649842
2214,0,46168.8750650302,36546.2948414619
1033,0,51992.6531423265,31763.061180455
10037,0,55816.4328615574,40664.1361378109
5879,0,55906.9513042602,40901.4053781851
